         FINAL PRE-CLEARING PRICES AS OF 11/12/14 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
ACD AUSTRALIAN DOLLAR/CANADIAN DOLLAR CROSSRATE FUT
DEC14     .9831     .9861B    .9830     .9849B    .9838  +.0021           6      .9817           1          32
MAR15      ----     .9785B     ----     .9785B    .9795  +.0021                  .9774
JUN15      ----      ----      ----      ----     .9752  +.0021                  .9731
SEP15      ----      ----      ----      ----     .9711  +.0022                  .9689
DEC15      ----      ----      ----      ----     .9670  +.0020                  .9650
MAR16      ----      ----      ----      ----     .9630  +.0018                  .9612
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                     6                      1          32
AD CME AUSTRALIAN DOLLAR FUTURES
DEC14     .8670     .8725     .8644      ----     .8695  +.0044       92777      .8651      112737      122756
MAR15     .8617     .8665     .8587A     ----     .8637  +.0044         505      .8593         356         875
JUN15      ----     .8587B     ----      ----     .8580  +.0044                  .8536           1          50
SEP15      ----     .8504B     ----      ----     .8526  +.0044                  .8482                      34
DEC15      ----     .8437B     ----      ----     .8477  +.0043                  .8434           2           6
MAR16      ----      ----      ----      ----     .8435  +.0042                  .8393
JUN16      ----      ----      ----      ----     .8392  +.0039                  .8353
SEP16      ----      ----      ----      ----     .8347  +.0038                  .8309
DEC16      ----      ----      ----      ----     .8311  +.0036                  .8275                       5
MAR17      ----      ----      ----      ----     .8288  +.0036                  .8252
JUN17      ----      ----      ----      ----     .8261  +.0036                  .8225
SEP17      ----      ----      ----      ----     .8236  +.0036                  .8200
DEC17      ----      ----      ----      ----     .8211  +.0036                  .8175
MAR18      ----      ----      ----      ----     .8186  +.0036                  .8150
JUN18      ----      ----      ----      ----     .8161  +.0036                  .8125
SEP18      ----      ----      ----      ----     .8136  +.0036                  .8100
DEC18      ----      ----      ----      ----     .8111  +.0036                  .8075
MAR19      ----      ----      ----      ----     .8086  +.0036                  .8050
JUN19      ----      ----      ----      ----     .8061  +.0036                  .8025
SEP19      ----      ----      ----      ----     .8037  +.0037                  .8000
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                 93282                 113096      123726
AJY CME AUSTRALIAN DOLLAR/JAPANESE YEN CROSSRATE FUTUR
